diff,distance,value
310421,24.55284712,206
310426,24.55284712,201
310431,24.55284712,210
310436,24.55284712,216
310441,24.55284712,207
310446,24.55284712,203
310451,24.55284712,199
310455,24.55284712,201
310460,24.55284712,195
310465,24.55284712,196
310470,24.55284712,193
310475,24.55284712,183
310480,24.64814265,186
310485,24.58719652,185
310490,24.58719652,170
310495,24.58719652,164
310499,24.58719652,160
310504,24.58719652,162
310509,24.58719652,174
310514,24.58719652,175
310519,24.58719652,176
310524,24.58719652,183
310529,24.58719652,190
310534,24.58719652,192
310539,24.58719652,185
310543,24.58719652,194
310548,24.58719652,204
310553,24.58719652,205
310558,24.58719652,209
310563,24.58719652,212
310568,24.62191477,217
310573,24.62191477,215
310578,24.62191477,222
310583,24.62191477,213
310587,24.62191477,218
310592,24.62191477,227
310597,24.62191477,237
310602,24.62191477,234
310607,24.62191477,228
310612,24.62191477,228
310617,24.62191477,233
310622,24.62191477,236
310627,24.62191477,219
310631,24.62191477,216
310636,24.62191477,219
310641,24.62191477,219
310646,24.62191477,219
310651,24.62191477,220
310656,24.62191477,218
310661,24.62191477,214
310666,24.62191477,222
310671,24.62191477,227
310675,24.65700032,231
310680,24.65700032,231
310685,24.56868987,229
310690,24.56868987,228
310695,24.56868987,220
310700,24.56868987,216
310705,24.56868987,210
310710,24.56868987,208
310715,24.56868987,197
310719,24.56868987,204
310724,24.56868987,204
310729,24.56868987,199
310734,24.56868987,188
310739,24.65700032,180
310744,24.78720872,189
310749,24.88201674,193
310754,24.88201674,201
310759,24.88201674,202
310763,24.88201674,217
310768,24.88201674,214
310773,24.88201674,214
310778,24.78720872,201
310783,24.88201674,192
310788,24.88201674,191
310793,24.88201674,194
310798,24.88201674,194
310803,24.97687508,187
310807,24.97687508,195
310812,24.97687508,183
310817,24.97687508,180
310822,24.97687508,169
310827,25.01228195,176
310832,25.01228195,183
310837,25.01228195,204
310842,25.01228195,203
310847,25.01228195,202
310851,25.01228195,201
310856,25.01228195,203
310861,25.01228195,204
310866,25.01228195,198
310871,24.97687508,200
310876,24.97687508,203
310881,24.97687508,204
310886,24.97687508,198
310891,24.97687508,194
310896,24.97687508,181
310900,24.97687508,186
310905,24.97687508,205
310910,24.97687508,214
310915,24.97687508,217
310920,25.07178316,218
310925,25.07178316,210
310930,25.07178316,207
310935,25.07178316,213
310940,25.07178316,206
310945,25.07178316,204
310949,25.07178316,210
310954,25.07178316,216
310959,25.03687071,221
310964,25.03687071,199
310969,25.03687071,189
310974,25.03687071,200
310979,25.03687071,208
310984,25.03687071,214
310989,25.03687071,222
310993,25.03687071,227
310998,25.00231993,238
311003,25.00231993,249
311008,25.00231993,253
311013,25.03687071,247
311018,25.03687071,242
311023,25.03687071,261
311028,25.03687071,265
311033,25.00231993,253
311037,25.00231993,254
311042,25.00231993,259
311047,25.00231993,249
311052,25.00231993,243
311057,25.00231993,242
311062,25.00231993,230
311067,25.13196031,227
311072,25.13196031,225
311077,25.13196031,220
311081,25.13196031,215
311086,25.13196031,215
311091,25.13196031,215
311096,25.13196031,217
311101,25.16674042,216
311106,25.13196031,226
311111,25.13196031,224
311116,25.13196031,216
311121,25.22709761,213
311125,25.22709761,209
311130,25.22709761,212
311135,25.22709761,206
311140,25.22709761,195
311145,25.22709761,193
311150,25.22709761,193
311155,25.22709761,186
311160,25.26174631,173
311165,25.26174631,164
311169,25.26174631,157
311174,25.26174631,160
311179,25.26174631,164
311184,25.26174631,163
311189,25.26174631,169
311194,25.26174631,171
311199,25.26174631,178
311204,25.26174631,185
311209,25.26174631,183
311213,25.26174631,187
311218,25.26174631,197
311223,25.26174631,207
311228,25.26174631,220
311233,25.26174631,222
311238,25.26174631,223
311243,25.26174631,223
311248,25.26174631,224
311253,25.26174631,228
311257,25.26174631,221
311262,25.26174631,211
311267,25.26174631,215
311272,25.26174631,207
311277,25.26174631,209
311282,25.26174631,204
311287,25.26174631,195
311292,25.22709761,186
311297,25.22709761,183
311301,25.22709761,195
311306,25.32228207,195
311311,25.32228207,203
311316,25.32228207,208
311321,25.32228207,211
311326,25.32228207,229
311331,25.22709761,236
311336,25.22709761,235
311341,25.22709761,233
311346,25.22709761,240
311350,25.22709761,246
311355,25.22709761,249
311360,25.22709761,235
311365,25.22709761,228
311370,25.22709761,221
311375,25.22709761,220
311380,25.22709761,230
311385,25.22709761,214
311390,25.22709761,205
311394,25.22709761,204
311399,25.22709761,205
311404,25.22709761,214
311409,25.22709761,212
311414,25.22709761,206
311419,25.22709761,205
311424,25.22709761,200
311429,25.22709761,201
311434,25.22709761,205
311438,25.22709761,190
311443,25.22709761,191
311448,25.22709761,187
311453,25.19280855,183
311458,25.19280855,181
311463,25.19280855,161
311468,25.19280855,158
311473,25.19280855,162
311478,25.19280855,155
311482,25.19280855,153
311487,25.19280855,144
311492,25.19280855,144
311497,25.19280855,157
311502,25.19280855,160
311507,25.19280855,170
311512,25.19280855,183
311517,25.19280855,189
311522,25.19280855,201
