diff,value,latitude,longitude
310421,206,37.62881,140.9393367
310426,201,37.62881,140.9393367
310431,210,37.62881,140.9393367
310436,216,37.62881,140.9393367
310441,207,37.62881,140.9393367
310446,203,37.62881,140.9393367
310451,199,37.62881,140.9393367
310455,201,37.62881,140.9393367
310460,195,37.62881,140.9393367
310465,196,37.62881,140.9393367
310470,193,37.62881,140.9393367
310475,183,37.62881,140.9393367
310480,186,37.62972,140.9393367
310485,185,37.62881,140.9381883
310490,170,37.62881,140.9381883
310495,164,37.62881,140.9381883
310499,160,37.62881,140.9381883
310504,162,37.62881,140.9381883
310509,174,37.62881,140.9381883
310514,175,37.62881,140.9381883
310519,176,37.62881,140.9381883
310524,183,37.62881,140.9381883
310529,190,37.62881,140.9381883
310534,192,37.62881,140.9381883
310539,185,37.62881,140.9381883
310543,194,37.62881,140.9381883
310548,204,37.62881,140.9381883
310553,205,37.62881,140.9381883
310558,209,37.62881,140.9381883
310563,212,37.62881,140.9381883
310568,217,37.62881,140.93704
310573,215,37.62881,140.93704
310578,222,37.62881,140.93704
310583,213,37.62881,140.93704
310587,218,37.62881,140.93704
310592,227,37.62881,140.93704
310597,237,37.62881,140.93704
310602,234,37.62881,140.93704
310607,228,37.62881,140.93704
310612,228,37.62881,140.93704
310617,233,37.62881,140.93704
310622,236,37.62881,140.93704
310627,219,37.62881,140.93704
310631,216,37.62881,140.93704
310636,219,37.62881,140.93704
310641,219,37.62881,140.93704
310646,219,37.62881,140.93704
310651,220,37.62881,140.93704
310656,218,37.62881,140.93704
310661,214,37.62881,140.93704
310666,222,37.62881,140.93704
310671,227,37.62881,140.93704
310675,231,37.62881,140.9358917
310680,231,37.62881,140.9358917
310685,229,37.6279,140.93568
310690,228,37.6279,140.93568
310695,220,37.6279,140.93568
310700,216,37.6279,140.93568
310705,210,37.6279,140.93568
310710,208,37.6279,140.93568
310715,197,37.6279,140.93568
310719,204,37.6279,140.93568
310724,204,37.6279,140.93568
310729,199,37.6279,140.93568
310734,188,37.6279,140.93568
310739,180,37.62881,140.9358917
310744,189,37.62972,140.9347433
310749,193,37.63063,140.9347433
310754,201,37.63063,140.9347433
310759,202,37.63063,140.9347433
310763,217,37.63063,140.9347433
310768,214,37.63063,140.9347433
310773,214,37.63063,140.9347433
310778,201,37.62972,140.9347433
310783,192,37.63063,140.9347433
310788,191,37.63063,140.9347433
310793,194,37.63063,140.9347433
310798,194,37.63063,140.9347433
310803,187,37.63154,140.9347433
310807,195,37.63154,140.9347433
310812,183,37.63154,140.9347433
310817,180,37.63154,140.9347433
310822,169,37.63154,140.9347433
310827,176,37.63154,140.933595
310832,183,37.63154,140.933595
310837,204,37.63154,140.933595
310842,203,37.63154,140.933595
310847,202,37.63154,140.933595
310851,201,37.63154,140.933595
310856,203,37.63154,140.933595
310861,204,37.63154,140.933595
310866,198,37.63154,140.933595
310871,200,37.63154,140.9347433
310876,203,37.63154,140.9347433
310881,204,37.63154,140.9347433
310886,198,37.63154,140.9347433
310891,194,37.63154,140.9347433
310896,181,37.63154,140.9347433
310900,186,37.63154,140.9347433
310905,205,37.63154,140.9347433
310910,214,37.63154,140.9347433
310915,217,37.63154,140.9347433
310920,218,37.63245,140.9347433
310925,210,37.63245,140.9347433
310930,207,37.63245,140.9347433
310935,213,37.63245,140.9347433
310940,206,37.63245,140.9347433
310945,204,37.63245,140.9347433
310949,210,37.63245,140.9347433
310954,216,37.63245,140.9347433
310959,221,37.63245,140.9358917
310964,199,37.63245,140.9358917
310969,189,37.63245,140.9358917
310974,200,37.63245,140.9358917
310979,208,37.63245,140.9358917
310984,214,37.63245,140.9358917
310989,222,37.63245,140.9358917
310993,227,37.63245,140.9358917
310998,238,37.63245,140.93704
311003,249,37.63245,140.93704
311008,253,37.63245,140.93704
311013,247,37.63245,140.9358917
311018,242,37.63245,140.9358917
311023,261,37.63245,140.9358917
311028,265,37.63245,140.9358917
311033,253,37.63245,140.93704
311037,254,37.63245,140.93704
311042,259,37.63245,140.93704
311047,249,37.63245,140.93704
311052,243,37.63245,140.93704
311057,242,37.63245,140.93704
311062,230,37.63245,140.93704
311067,227,37.63336,140.9358917
311072,225,37.63336,140.9358917
311077,220,37.63336,140.9358917
311081,215,37.63336,140.9358917
311086,215,37.63336,140.9358917
311091,215,37.63336,140.9358917
311096,217,37.63336,140.9358917
311101,216,37.63336,140.9347433
311106,226,37.63336,140.9358917
311111,224,37.63336,140.9358917
311116,216,37.63336,140.9358917
311121,213,37.63427,140.9358917
311125,209,37.63427,140.9358917
311130,212,37.63427,140.9358917
311135,206,37.63427,140.9358917
311140,195,37.63427,140.9358917
311145,193,37.63427,140.9358917
311150,193,37.63427,140.9358917
311155,186,37.63427,140.9358917
311160,173,37.63427,140.9347433
311165,164,37.63427,140.9347433
311169,157,37.63427,140.9347433
311174,160,37.63427,140.9347433
311179,164,37.63427,140.9347433
311184,163,37.63427,140.9347433
311189,169,37.63427,140.9347433
311194,171,37.63427,140.9347433
311199,178,37.63427,140.9347433
311204,185,37.63427,140.9347433
311209,183,37.63427,140.9347433
311213,187,37.63427,140.9347433
311218,197,37.63427,140.9347433
311223,207,37.63427,140.9347433
311228,220,37.63427,140.9347433
311233,222,37.63427,140.9347433
