diff,distance,cos,sin,value
310421,24.55284712,0.910337143,-0.413867475,206
310426,24.55284712,0.910337143,-0.413867475,201
310431,24.55284712,0.910337143,-0.413867475,210
310436,24.55284712,0.910337143,-0.413867475,216
310441,24.55284712,0.910337143,-0.413867475,207
310446,24.55284712,0.910337143,-0.413867475,203
310451,24.55284712,0.910337143,-0.413867475,199
310455,24.55284712,0.910337143,-0.413867475,201
310460,24.55284712,0.910337143,-0.413867475,195
310465,24.55284712,0.910337143,-0.413867475,196
310470,24.55284712,0.910337143,-0.413867475,193
310475,24.55284712,0.910337143,-0.413867475,183
310480,24.64814265,0.911022723,-0.412356154,186
310485,24.58719652,0.908418077,-0.41806291,185
310490,24.58719652,0.908418077,-0.41806291,170
310495,24.58719652,0.908418077,-0.41806291,164
310499,24.58719652,0.908418077,-0.41806291,160
310504,24.58719652,0.908418077,-0.41806291,162
310509,24.58719652,0.908418077,-0.41806291,174
310514,24.58719652,0.908418077,-0.41806291,175
310519,24.58719652,0.908418077,-0.41806291,176
310524,24.58719652,0.908418077,-0.41806291,183
310529,24.58719652,0.908418077,-0.41806291,190
310534,24.58719652,0.908418077,-0.41806291,192
310539,24.58719652,0.908418077,-0.41806291,185
310543,24.58719652,0.908418077,-0.41806291,194
310548,24.58719652,0.908418077,-0.41806291,204
310553,24.58719652,0.908418077,-0.41806291,205
310558,24.58719652,0.908418077,-0.41806291,209
310563,24.58719652,0.908418077,-0.41806291,212
310568,24.62191477,0.906487914,-0.422231763,217
310573,24.62191477,0.906487914,-0.422231763,215
310578,24.62191477,0.906487914,-0.422231763,222
310583,24.62191477,0.906487914,-0.422231763,213
310587,24.62191477,0.906487914,-0.422231763,218
310592,24.62191477,0.906487914,-0.422231763,227
310597,24.62191477,0.906487914,-0.422231763,237
310602,24.62191477,0.906487914,-0.422231763,234
310607,24.62191477,0.906487914,-0.422231763,228
310612,24.62191477,0.906487914,-0.422231763,228
310617,24.62191477,0.906487914,-0.422231763,233
310622,24.62191477,0.906487914,-0.422231763,236
310627,24.62191477,0.906487914,-0.422231763,219
310631,24.62191477,0.906487914,-0.422231763,216
310636,24.62191477,0.906487914,-0.422231763,219
310641,24.62191477,0.906487914,-0.422231763,219
310646,24.62191477,0.906487914,-0.422231763,219
310651,24.62191477,0.906487914,-0.422231763,220
310656,24.62191477,0.906487914,-0.422231763,218
310661,24.62191477,0.906487914,-0.422231763,214
310666,24.62191477,0.906487914,-0.422231763,222
310671,24.62191477,0.906487914,-0.422231763,227
310675,24.65700032,0.904546966,-0.426373998,231
310680,24.65700032,0.904546966,-0.426373998,231
310685,24.56868987,0.90345478,-0.428683403,229
310690,24.56868987,0.90345478,-0.428683403,228
310695,24.56868987,0.90345478,-0.428683403,220
